image,type,kernel_size,time
image_processing,a,0,144.307
image_processing,a,0,144.277
image_processing,a,0,144.122
image_processing,a,0,144.798
image_processing,a,0,144.087
image_processing,a,0,144.267
image_processing,a,0,144.098
image_processing,a,0,144.23
image_processing,a,0,144.04
image_processing,a,0,144.128
image_processing,a,0,144.261
image_processing,a,0,144.155
image_processing,a,0,144.139
image_processing,a,0,144.415
image_processing,a,0,144.329
image_processing,a,0,144.337
image_processing,a,0,144.249
image_processing,a,0,144.123
image_processing,a,0,144.242
image_processing,a,0,144.104
image_processing,a,0,144.535
image_processing,a,0,144.313
image_processing,a,0,144.26
image_processing,a,0,144.509
image_processing,a,0,144.741
image_processing,a,0,144.328
image_processing,a,0,144.804
image_processing,a,0,144.534
image_processing,a,0,144.614
image_processing,a,0,144.657
image_processing,a,0,97.8813
image_processing,a,0,98.1855
image_processing,a,0,97.9508
image_processing,a,0,97.9985
image_processing,a,0,98.1142
image_processing,a,0,98.2
image_processing,a,0,98.1792
image_processing,a,0,98.3825
image_processing,a,0,98.346
image_processing,a,0,98.1373
image_processing,a,0,98.1418
image_processing,a,0,98.2336
image_processing,a,0,98.4077
image_processing,a,0,98.2593
image_processing,a,0,98.1377
image_processing,a,0,98.3237
image_processing,a,0,98.1348
image_processing,a,0,98.3312
image_processing,a,0,98.2883
image_processing,a,0,98.4955
image_processing,a,0,98.31
image_processing,a,0,98.2746
image_processing,a,0,98.2771
image_processing,a,0,98.3108
image_processing,a,0,98.3326
image_processing,a,0,98.4498
image_processing,a,0,98.3877
image_processing,a,0,98.6115
image_processing,a,0,98.6828
image_processing,a,0,98.5788
image_processing,a,0,79.9896
image_processing,a,0,80.1801
image_processing,a,0,80.2606
image_processing,a,0,80.1568
image_processing,a,0,80.6522
image_processing,a,0,80.5934
image_processing,a,0,80.4504
image_processing,a,0,80.5442
image_processing,a,0,80.3359
image_processing,a,0,80.2216
image_processing,a,0,80.4041
image_processing,a,0,80.7512
image_processing,a,0,80.5625
image_processing,a,0,80.4016
image_processing,a,0,80.2273
image_processing,a,0,80.3707
image_processing,a,0,80.5595
image_processing,a,0,80.3023
image_processing,a,0,80.8165
image_processing,a,0,80.2987
image_processing,a,0,80.5646
image_processing,a,0,80.3151
image_processing,a,0,80.3893
image_processing,a,0,80.4144
image_processing,a,0,80.5991
image_processing,a,0,80.5876
image_processing,a,0,80.7394
image_processing,a,0,80.806
image_processing,a,0,80.3753
image_processing,a,0,80.7291
image_processing,a,0,72.1189
image_processing,a,0,72.3126
image_processing,a,0,72.5539
image_processing,a,0,72.1249
image_processing,a,0,72.7485
image_processing,a,0,71.7113
image_processing,a,0,72.3356
image_processing,a,0,72.3266
image_processing,a,0,72.4742
image_processing,a,0,72.0274
image_processing,a,0,72.1237
image_processing,a,0,71.8386
image_processing,a,0,72.1692
image_processing,a,0,72.4578
image_processing,a,0,72.2472
image_processing,a,0,72.039
image_processing,a,0,72.5029
image_processing,a,0,72.0781
image_processing,a,0,72.1798
image_processing,a,0,72.2605
image_processing,a,0,72.0129
image_processing,a,0,72.3343
image_processing,a,0,72.358
image_processing,a,0,73.3063
image_processing,a,0,72.4023
image_processing,a,0,72.445
image_processing,a,0,72.3747
image_processing,a,0,72.4232
image_processing,a,0,72.4682
image_processing,a,0,72.3239
image_processing,a,0,63.7011
image_processing,a,0,63.6286
image_processing,a,0,63.8355
image_processing,a,0,63.674
image_processing,a,0,63.9406
image_processing,a,0,65.0827
image_processing,a,0,63.7247
image_processing,a,0,63.6319
image_processing,a,0,65.249
image_processing,a,0,63.7808
image_processing,a,0,64.1995
image_processing,a,0,63.8544
image_processing,a,0,63.8467
image_processing,a,0,63.7987
image_processing,a,0,64.4981
image_processing,a,0,63.9391
image_processing,a,0,63.6537
image_processing,a,0,63.9176
image_processing,a,0,64.5947
image_processing,a,0,63.7671
image_processing,a,0,63.8593
image_processing,a,0,63.846
image_processing,a,0,64.0183
image_processing,a,0,63.7634
image_processing,a,0,63.9965
image_processing,a,0,64.4003
image_processing,a,0,63.7491
image_processing,a,0,64.1555
image_processing,a,0,64.0802
image_processing,a,0,64.4377
image_processing,a,0,65.5326
image_processing,a,0,65.0082
image_processing,a,0,67.6378
image_processing,a,0,66.043
image_processing,a,0,65.8222
image_processing,a,0,66.4663
image_processing,a,0,65.1566
image_processing,a,0,65.6073
image_processing,a,0,66.3762
image_processing,a,0,65.95
image_processing,a,0,64.9435
image_processing,a,0,65.7351
image_processing,a,0,65.0515
image_processing,a,0,65.4186
image_processing,a,0,65.8915
image_processing,a,0,67.3788
image_processing,a,0,66.2076
image_processing,a,0,65.6805
image_processing,a,0,66.5067
image_processing,a,0,64.9548
image_processing,a,0,67.6682
image_processing,a,0,66.248
image_processing,a,0,66.4785
image_processing,a,0,65.6754
image_processing,a,0,66.1689
image_processing,a,0,65.0282
image_processing,a,0,65.4023
image_processing,a,0,67.5919
image_processing,a,0,66.0926
image_processing,a,0,68.2542
