time,np
144.307,1
144.277,1
144.122,1
144.798,1
144.087,1
144.267,1
144.098,1
144.23,1
144.04,1
144.128,1
144.261,1
144.155,1
144.139,1
144.415,1
144.329,1
144.337,1
144.249,1
144.123,1
144.242,1
144.104,1
144.535,1
144.313,1
144.26,1
144.509,1
144.741,1
144.328,1
144.804,1
144.534,1
144.614,1
144.657,1
97.8813,2
98.1855,2
97.9508,2
97.9985,2
98.1142,2
98.2,2
98.1792,2
98.3825,2
98.346,2
98.1373,2
98.1418,2
98.2336,2
98.4077,2
98.2593,2
98.1377,2
98.3237,2
98.1348,2
98.3312,2
98.2883,2
98.4955,2
98.31,2
98.2746,2
98.2771,2
98.3108,2
98.3326,2
98.4498,2
98.3877,2
98.6115,2
98.6828,2
98.5788,2
79.9896,3
80.1801,3
80.2606,3
80.1568,3
80.6522,3
80.5934,3
80.4504,3
80.5442,3
80.3359,3
80.2216,3
80.4041,3
80.7512,3
80.5625,3
80.4016,3
80.2273,3
80.3707,3
80.5595,3
80.3023,3
80.8165,3
80.2987,3
80.5646,3
80.3151,3
80.3893,3
80.4144,3
80.5991,3
80.5876,3
80.7394,3
80.806,3
80.3753,3
80.7291,3
72.1189,4
72.3126,4
72.5539,4
72.1249,4
72.7485,4
71.7113,4
72.3356,4
72.3266,4
72.4742,4
72.0274,4
72.1237,4
71.8386,4
72.1692,4
72.4578,4
72.2472,4
72.039,4
72.5029,4
72.0781,4
72.1798,4
72.2605,4
72.0129,4
72.3343,4
72.358,4
73.3063,4
72.4023,4
72.445,4
72.3747,4
72.4232,4
72.4682,4
72.3239,4
63.7011,5
63.6286,5
63.8355,5
63.674,5
63.9406,5
65.0827,5
63.7247,5
63.6319,5
65.249,5
63.7808,5
64.1995,5
63.8544,5
63.8467,5
63.7987,5
64.4981,5
63.9391,5
63.6537,5
63.9176,5
64.5947,5
63.7671,5
63.8593,5
63.846,5
64.0183,5
63.7634,5
63.9965,5
64.4003,5
63.7491,5
64.1555,5
64.0802,5
64.4377,5
65.5326,6
65.0082,6
67.6378,6
66.043,6
65.8222,6
66.4663,6
65.1566,6
65.6073,6
66.3762,6
65.95,6
64.9435,6
65.7351,6
65.0515,6
65.4186,6
65.8915,6
67.3788,6
66.2076,6
65.6805,6
66.5067,6
64.9548,6
67.6682,6
66.248,6
66.4785,6
65.6754,6
66.1689,6
65.0282,6
65.4023,6
67.5919,6
66.0926,6
68.2542,6
