image,type,kernel_size,time
23,median,3,0.0743776
23,mean,3,0.016843
23,highlight,3,0.0168033
17,median,3,0.0735066
17,mean,3,0.0173361
17,highlight,3,0.016841
20,median,3,0.0738186
20,mean,3,0.0168686
20,highlight,3,0.0168165
14,median,3,0.0115718
14,mean,3,0.00423548
14,highlight,3,0.00432997
saltpepper1,median,3,0.0737856
saltpepper1,mean,3,0.016839
saltpepper1,highlight,3,0.0171499
18,median,3,0.0683492
18,mean,3,0.0170159
18,highlight,3,0.0170203
16,median,3,0.0648984
16,mean,3,0.0169679
16,highlight,3,0.0169205
4,median,3,0.0729318
4,mean,3,0.0203125
4,highlight,3,0.0170184
2,median,3,0.0739951
2,mean,3,0.0168981
2,highlight,3,0.0167687
image,median,3,0.07025
image,mean,3,0.0169514
image,highlight,3,0.0169511
3,median,3,0.0182313
3,mean,3,0.00431495
3,highlight,3,0.00422147
8,median,3,0.0728818
8,mean,3,0.0168734
8,highlight,3,0.0171517
9,median,3,0.0749816
9,mean,3,0.0168258
9,highlight,3,0.0167418
6,median,3,0.0743289
6,mean,3,0.0168502
6,highlight,3,0.0168632
24,median,3,0.0749038
24,mean,3,0.0170475
24,highlight,3,0.0167946
21,median,3,0.0716301
21,mean,3,0.0168555
21,highlight,3,0.0168743
22,median,3,0.073232
22,mean,3,0.0168984
22,highlight,3,0.0167909
1,median,3,0.0751931
1,mean,3,0.0168764
1,highlight,3,0.0167591
12,median,3,0.0738873
12,mean,3,0.016918
12,highlight,3,0.0167805
0,median,3,0.0732026
0,mean,3,0.0170629
0,highlight,3,0.0168606
5,median,3,0.0736412
5,mean,3,0.0168571
5,highlight,3,0.0167496
13,median,3,0.300207
13,mean,3,0.0673438
13,highlight,3,0.0675474
15,median,3,0.296048
15,mean,3,0.0677591
15,highlight,3,0.0677952
7,median,3,0.300073
7,mean,3,0.0680481
7,highlight,3,0.0671385
23,median,5,0.255547
23,mean,5,0.0395559
23,highlight,5,0.0395656
17,median,5,0.257814
17,mean,5,0.0394164
17,highlight,5,0.0394462
20,median,5,0.253054
20,mean,5,0.0393178
20,highlight,5,0.0391439
14,median,5,0.0369194
14,mean,5,0.00995724
14,highlight,5,0.00997193
saltpepper1,median,5,0.259707
saltpepper1,mean,5,0.039475
saltpepper1,highlight,5,0.0396795
18,median,5,0.235065
18,mean,5,0.0394548
18,highlight,5,0.0399013
16,median,5,0.217449
16,mean,5,0.0395711
16,highlight,5,0.0395922
4,median,5,0.256137
4,mean,5,0.0392734
4,highlight,5,0.043351
2,median,5,0.253472
2,mean,5,0.0395378
2,highlight,5,0.0393393
image,median,5,0.244385
image,mean,5,0.0394061
image,highlight,5,0.0396467
3,median,5,0.0634856
3,mean,5,0.00989557
3,highlight,5,0.00981599
8,median,5,0.254716
8,mean,5,0.0394328
8,highlight,5,0.0401073
9,median,5,0.261385
9,mean,5,0.0394426
9,highlight,5,0.0394231
6,median,5,0.258842
6,mean,5,0.0394063
6,highlight,5,0.0395251
24,median,5,0.259514
24,mean,5,0.0395726
24,highlight,5,0.0394669
21,median,5,0.249233
21,mean,5,0.0397413
21,highlight,5,0.0396385
22,median,5,0.253429
22,mean,5,0.0405013
22,highlight,5,0.0416175
1,median,5,0.278615
1,mean,5,0.0408584
1,highlight,5,0.0405552
12,median,5,0.263313
12,mean,5,0.0409742
12,highlight,5,0.0411656
0,median,5,0.262081
0,mean,5,0.0405844
0,highlight,5,0.0406496
5,median,5,0.264072
5,mean,5,0.0404877
5,highlight,5,0.0404831
13,median,5,1.08174
13,mean,5,0.158296
13,highlight,5,0.157902
15,median,5,1.05451
15,mean,5,0.159655
15,highlight,5,0.159656
7,median,5,1.07468
7,mean,5,0.158935
7,highlight,5,0.15823
23,median,7,0.579531
23,mean,7,0.0743494
23,highlight,7,0.0743571
17,median,7,0.572298
17,mean,7,0.0732646
17,highlight,7,0.0741562
20,median,7,0.56396
20,mean,7,0.0739855
20,highlight,7,0.0743176
14,median,7,0.0843603
14,mean,7,0.0185842
14,highlight,7,0.0185551
saltpepper1,median,7,0.580886
saltpepper1,mean,7,0.0741531
saltpepper1,highlight,7,0.0746431
18,median,7,0.513639
18,mean,7,0.073856
18,highlight,7,0.0759173
16,median,7,0.478031
16,mean,7,0.0737912
16,highlight,7,0.0745662
4,median,7,0.591383
4,mean,7,0.0739785
4,highlight,7,0.0746788
2,median,7,0.569417
2,mean,7,0.073772
2,highlight,7,0.0738846
image,median,7,0.536368
image,mean,7,0.0743206
image,highlight,7,0.0755334
3,median,7,0.144295
3,mean,7,0.018614
3,highlight,7,0.0183635
8,median,7,0.582248
8,mean,7,0.0744316
8,highlight,7,0.0747924
9,median,7,0.586019
9,mean,7,0.0751793
9,highlight,7,0.0738802
6,median,7,0.584926
6,mean,7,0.0743623
6,highlight,7,0.073898
24,median,7,0.581661
24,mean,7,0.0749945
24,highlight,7,0.0747483
21,median,7,0.552483
21,mean,7,0.074496
21,highlight,7,0.0738296
22,median,7,0.546519
22,mean,7,0.0733745
22,highlight,7,0.0733705
1,median,7,0.577774
1,mean,7,0.0734185
1,highlight,7,0.073641
12,median,7,0.558762
12,mean,7,0.0734414
12,highlight,7,0.073685
0,median,7,0.566344
0,mean,7,0.0735164
0,highlight,7,0.0811049
5,median,7,0.565402
5,mean,7,0.0733477
5,highlight,7,0.0737923
13,median,7,2.37271
13,mean,7,0.293931
13,highlight,7,0.293074
15,median,7,2.3098
15,mean,7,0.293569
15,highlight,7,0.294829
7,median,7,2.33264
7,mean,7,0.295287
7,highlight,7,0.293132
23,median,9,1.00312
23,mean,9,0.117908
23,highlight,9,0.117304
17,median,9,0.993348
17,mean,9,0.118743
17,highlight,9,0.118208
20,median,9,0.991787
20,mean,9,0.11794
20,highlight,9,0.118033
14,median,9,0.159134
14,mean,9,0.0294954
14,highlight,9,0.0298238
saltpepper1,median,9,1.03661
saltpepper1,mean,9,0.117919
saltpepper1,highlight,9,0.119138
18,median,9,0.897715
18,mean,9,0.118669
18,highlight,9,0.118926
16,median,9,0.803297
16,mean,9,0.118181
16,highlight,9,0.118937
4,median,9,1.02474
4,mean,9,0.118077
4,highlight,9,0.118621
2,median,9,0.995735
2,mean,9,0.118296
2,highlight,9,0.117857
image,median,9,0.939325
image,mean,9,0.117857
image,highlight,9,0.117629
3,median,9,0.256968
3,mean,9,0.0296726
3,highlight,9,0.029524
8,median,9,1.01864
8,mean,9,0.118532
8,highlight,9,0.118521
9,median,9,1.03843
9,mean,9,0.11793
9,highlight,9,0.117536
6,median,9,1.0348
6,mean,9,0.117887
6,highlight,9,0.118017
24,median,9,1.02522
24,mean,9,0.118081
24,highlight,9,0.118081
21,median,9,0.967301
21,mean,9,0.118048
21,highlight,9,0.118351
22,median,9,0.951804
22,mean,9,0.118289
22,highlight,9,0.11822
1,median,9,1.03467
1,mean,9,0.117555
1,highlight,9,0.118164
12,median,9,0.981327
12,mean,9,0.118188
12,highlight,9,0.117345
0,median,9,1.00943
0,mean,9,0.118116
0,highlight,9,0.117881
5,median,9,0.989065
5,mean,9,0.117622
5,highlight,9,0.117926
13,median,9,4.22934
13,mean,9,0.471578
13,highlight,9,0.472855
15,median,9,4.11871
15,mean,9,0.471873
15,highlight,9,0.470763
7,median,9,4.11878
7,mean,9,0.478891
7,highlight,9,0.470362
23,median,11,1.57429
23,mean,11,0.174069
23,highlight,11,0.174232
17,median,11,1.54934
17,mean,11,0.174044
17,highlight,11,0.174188
20,median,11,1.55283
20,mean,11,0.175016
20,highlight,11,0.174361
14,median,11,0.241394
14,mean,11,0.0434787
14,highlight,11,0.0439788
saltpepper1,median,11,1.64042
saltpepper1,mean,11,0.173874
saltpepper1,highlight,11,0.175727
18,median,11,1.4049
18,mean,11,0.174028
18,highlight,11,0.174322
16,median,11,1.26552
16,mean,11,0.174333
16,highlight,11,0.175558
4,median,11,1.62387
4,mean,11,0.173945
4,highlight,11,0.173877
2,median,11,1.57925
2,mean,11,0.174094
2,highlight,11,0.174517
image,median,11,1.47659
image,mean,11,0.179085
image,highlight,11,0.17476
3,median,11,0.409878
3,mean,11,0.0437816
3,highlight,11,0.0438272
8,median,11,1.62185
8,mean,11,0.173839
8,highlight,11,0.174657
9,median,11,1.6415
9,mean,11,0.175912
9,highlight,11,0.174683
6,median,11,1.63678
6,mean,11,0.174649
6,highlight,11,0.17418
24,median,11,1.62474
24,mean,11,0.173599
24,highlight,11,0.173576
21,median,11,1.50871
21,mean,11,0.174906
21,highlight,11,0.174402
22,median,11,1.4867
22,mean,11,0.17427
22,highlight,11,0.173864
1,median,11,1.64409
1,mean,11,0.174622
1,highlight,11,0.174395
12,median,11,1.54055
12,mean,11,0.175087
12,highlight,11,0.173603
0,median,11,1.59336
0,mean,11,0.175186
0,highlight,11,0.174383
5,median,11,1.55456
5,mean,11,0.174729
5,highlight,11,0.174133
13,median,11,6.71217
13,mean,11,0.696048
13,highlight,11,0.696157
15,median,11,6.51209
15,mean,11,0.696421
15,highlight,11,0.700104
7,median,11,6.45323
7,mean,11,0.696892
7,highlight,11,0.695978
23,rotate,0,0.119129
23,schear,0,0.117966
17,rotate,0,0.117654
17,schear,0,0.11793
20,rotate,0,0.118013
20,schear,0,0.118077
14,rotate,0,0.0294837
14,schear,0,0.0294311
saltpepper1,rotate,0,0.117998
saltpepper1,schear,0,0.118066
18,rotate,0,0.11788
18,schear,0,0.118408
16,rotate,0,0.117911
16,schear,0,0.118214
4,rotate,0,0.11793
4,schear,0,0.118137
2,rotate,0,0.118448
2,schear,0,0.118193
image,rotate,0,0.118307
image,schear,0,0.118233
3,rotate,0,0.0297271
3,schear,0,0.0296235
8,rotate,0,0.117844
8,schear,0,0.119109
9,rotate,0,0.118325
9,schear,0,0.118106
6,rotate,0,0.118469
6,schear,0,0.118405
24,rotate,0,0.118423
24,schear,0,0.118236
21,rotate,0,0.118584
21,schear,0,0.11809
22,rotate,0,0.118465
22,schear,0,0.118488
1,rotate,0,0.118193
1,schear,0,0.118114
12,rotate,0,0.118841
12,schear,0,0.118072
0,rotate,0,0.118177
0,schear,0,0.118065
5,rotate,0,0.118216
5,schear,0,0.117867
13,rotate,0,0.475151
13,schear,0,0.472655
15,rotate,0,0.474835
15,schear,0,0.472062
7,rotate,0,0.473999
7,schear,0,0.472166
23,median,3,0.0751165
23,mean,3,0.0168496
23,highlight,3,0.0168199
17,median,3,0.0743804
17,mean,3,0.0169184
17,highlight,3,0.0168965
20,median,3,0.0745841
20,mean,3,0.0168396
20,highlight,3,0.0168084
14,median,3,0.0117593
14,mean,3,0.00430751
14,highlight,3,0.00436297
saltpepper1,median,3,0.0742992
saltpepper1,mean,3,0.0169431
saltpepper1,highlight,3,0.0171879
18,median,3,0.0690098
18,mean,3,0.0169432
18,highlight,3,0.0169683
16,median,3,0.0655907
16,mean,3,0.016875
16,highlight,3,0.0169354
4,median,3,0.0737918
4,mean,3,0.016864
4,highlight,3,0.0170576
2,median,3,0.0746205
2,mean,3,0.0168493
2,highlight,3,0.0168471
image,median,3,0.0713736
image,mean,3,0.0169318
image,highlight,3,0.0170367
3,median,3,0.0184488
3,mean,3,0.00434146
3,highlight,3,0.00423815
8,median,3,0.0733765
8,mean,3,0.0168741
8,highlight,3,0.0172034
9,median,3,0.075794
9,mean,3,0.0168881
9,highlight,3,0.0167868
6,median,3,0.0749174
6,mean,3,0.0168753
6,highlight,3,0.0168983
24,median,3,0.0756458
24,mean,3,0.0168967
24,highlight,3,0.0168208
21,median,3,0.0722241
21,mean,3,0.0168717
21,highlight,3,0.0168906
22,median,3,0.0738766
22,mean,3,0.0168416
22,highlight,3,0.0168128
1,median,3,0.0757131
1,mean,3,0.0168472
1,highlight,3,0.0167762
12,median,3,0.0742488
12,mean,3,0.0168724
12,highlight,3,0.0168204
0,median,3,0.0739038
0,mean,3,0.0168948
0,highlight,3,0.0168146
5,median,3,0.0743453
5,mean,3,0.0168691
5,highlight,3,0.0168363
13,median,3,0.30256
13,mean,3,0.0674785
13,highlight,3,0.0674813
15,median,3,0.305402
15,mean,3,0.0674474
15,highlight,3,0.0678054
7,median,3,0.302166
7,mean,3,0.0673327
7,highlight,3,0.0676819
23,median,5,0.256639
23,mean,5,0.0395583
23,highlight,5,0.0392956
17,median,5,0.258189
17,mean,5,0.0394522
17,highlight,5,0.03925
20,median,5,0.2547
20,mean,5,0.0392726
20,highlight,5,0.0392384
14,median,5,0.0371269
14,mean,5,0.00984949
14,highlight,5,0.00994554
saltpepper1,median,5,0.260317
saltpepper1,mean,5,0.0394077
saltpepper1,highlight,5,0.0396767
18,median,5,0.235713
18,mean,5,0.0392349
18,highlight,5,0.0394798
16,median,5,0.218044
16,mean,5,0.0394133
16,highlight,5,0.0396152
4,median,5,0.256304
4,mean,5,0.0394961
4,highlight,5,0.03956
2,median,5,0.255738
2,mean,5,0.0394101
2,highlight,5,0.0393831
image,median,5,0.245132
image,mean,5,0.0395352
image,highlight,5,0.0394981
3,median,5,0.0637212
3,mean,5,0.00985027
3,highlight,5,0.00982867
8,median,5,0.254068
8,mean,5,0.03932
8,highlight,5,0.0399334
9,median,5,0.26202
9,mean,5,0.0395592
9,highlight,5,0.039334
6,median,5,0.25962
6,mean,5,0.0393197
6,highlight,5,0.039452
24,median,5,0.26005
24,mean,5,0.039308
24,highlight,5,0.0392091
21,median,5,0.24936
21,mean,5,0.039329
21,highlight,5,0.0394663
22,median,5,0.25454
22,mean,5,0.0394019
22,highlight,5,0.0391735
1,median,5,0.260859
1,mean,5,0.0393917
1,highlight,5,0.0391775
12,median,5,0.25313
12,mean,5,0.0393869
12,highlight,5,0.0392144
0,median,5,0.258978
0,mean,5,0.0393173
0,highlight,5,0.0395805
5,median,5,0.261405
5,mean,5,0.0393044
5,highlight,5,0.0391531
13,median,5,1.06697
13,mean,5,0.157506
13,highlight,5,0.157414
15,median,5,1.03727
15,mean,5,0.157686
15,highlight,5,0.157907
7,median,5,1.06364
7,mean,5,0.157881
7,highlight,5,0.16199
23,median,7,0.570524
23,mean,7,0.0733841
23,highlight,7,0.0732489
17,median,7,0.563417
17,mean,7,0.0737037
17,highlight,7,0.0733354
20,median,7,0.559525
20,mean,7,0.0732833
20,highlight,7,0.0735955
14,median,7,0.0837901
14,mean,7,0.018522
14,highlight,7,0.0185005
saltpepper1,median,7,0.580773
saltpepper1,mean,7,0.0733775
saltpepper1,highlight,7,0.074166
18,median,7,0.511858
18,mean,7,0.0848569
18,highlight,7,0.0742607
16,median,7,0.463318
16,mean,7,0.0735829
16,highlight,7,0.0742177
4,median,7,0.574017
4,mean,7,0.0734475
4,highlight,7,0.0740574
2,median,7,0.570689
2,mean,7,0.0734512
2,highlight,7,0.0735931
image,median,7,0.534222
image,mean,7,0.0733064
image,highlight,7,0.0740749
3,median,7,0.143033
3,mean,7,0.0183452
3,highlight,7,0.0183615
8,median,7,0.570687
8,mean,7,0.0734239
8,highlight,7,0.0744058
9,median,7,0.581411
9,mean,7,0.0736864
9,highlight,7,0.0735727
6,median,7,0.587433
6,mean,7,0.0734212
6,highlight,7,0.0734816
24,median,7,0.575348
24,mean,7,0.0732815
24,highlight,7,0.0822534
21,median,7,0.548581
21,mean,7,0.0736339
21,highlight,7,0.074053
22,median,7,0.547197
22,mean,7,0.0733523
22,highlight,7,0.0731982
1,median,7,0.577913
1,mean,7,0.0735614
1,highlight,7,0.0735713
12,median,7,0.555936
12,mean,7,0.0734784
12,highlight,7,0.0731816
0,median,7,0.567146
0,mean,7,0.0733784
0,highlight,7,0.0734275
5,median,7,0.563012
5,mean,7,0.0732105
5,highlight,7,0.0732512
13,median,7,2.36688
13,mean,7,0.294099
13,highlight,7,0.293045
15,median,7,2.31171
15,mean,7,0.293766
15,highlight,7,0.29335
7,median,7,2.3381
7,mean,7,0.293057
7,highlight,7,0.301428
23,median,9,1.00139
23,mean,9,0.118058
23,highlight,9,0.11794
17,median,9,0.992436
17,mean,9,0.118078
17,highlight,9,0.117573
20,median,9,0.991478
20,mean,9,0.117501
20,highlight,9,0.117533
14,median,9,0.159026
14,mean,9,0.0293306
14,highlight,9,0.0293896
saltpepper1,median,9,1.03889
saltpepper1,mean,9,0.117675
saltpepper1,highlight,9,0.118352
18,median,9,0.90328
18,mean,9,0.117707
18,highlight,9,0.118325
16,median,9,0.805612
16,mean,9,0.11797
16,highlight,9,0.118148
4,median,9,1.02654
4,mean,9,0.118271
4,highlight,9,0.117944
2,median,9,0.998921
2,mean,9,0.118119
2,highlight,9,0.118041
image,median,9,0.942362
image,mean,9,0.117582
image,highlight,9,0.118412
3,median,9,0.25982
3,mean,9,0.0295109
3,highlight,9,0.0295953
8,median,9,1.02265
8,mean,9,0.117536
8,highlight,9,0.118232
9,median,9,1.04121
9,mean,9,0.117884
9,highlight,9,0.117671
6,median,9,1.03581
6,mean,9,0.117917
6,highlight,9,0.118312
24,median,9,1.02865
24,mean,9,0.117712
24,highlight,9,0.117811
21,median,9,0.965197
21,mean,9,0.117935
21,highlight,9,0.1186
22,median,9,0.955402
22,mean,9,0.117674
22,highlight,9,0.118075
1,median,9,1.03635
1,mean,9,0.117801
1,highlight,9,0.118464
12,median,9,0.983809
12,mean,9,0.117927
12,highlight,9,0.117817
0,median,9,1.01118
0,mean,9,0.117351
0,highlight,9,0.117203
5,median,9,0.992702
5,mean,9,0.118117
5,highlight,9,0.118104
13,median,9,4.24741
13,mean,9,0.471036
13,highlight,9,0.470949
15,median,9,4.12972
15,mean,9,0.47111
15,highlight,9,0.476468
7,median,9,4.13171
7,mean,9,0.473002
7,highlight,9,0.472161
23,median,11,1.57827
23,mean,11,0.174091
23,highlight,11,0.173805
17,median,11,1.55339
17,mean,11,0.173354
17,highlight,11,0.17417
20,median,11,1.5573
20,mean,11,0.173842
20,highlight,11,0.173823
14,median,11,0.241101
14,mean,11,0.0432807
14,highlight,11,0.0436422
saltpepper1,median,11,1.64834
saltpepper1,mean,11,0.173775
saltpepper1,highlight,11,0.174368
18,median,11,1.40832
18,mean,11,0.17412
18,highlight,11,0.174998
16,median,11,1.26408
16,mean,11,0.17426
16,highlight,11,0.174075
4,median,11,1.63028
4,mean,11,0.173661
4,highlight,11,0.174323
2,median,11,1.57001
2,mean,11,0.174382
2,highlight,11,0.174085
image,median,11,1.48085
image,mean,11,0.178066
image,highlight,11,0.173747
3,median,11,0.41025
3,mean,11,0.0436236
3,highlight,11,0.0432589
8,median,11,1.62043
8,mean,11,0.173281
8,highlight,11,0.174967
9,median,11,1.64555
9,mean,11,0.173899
9,highlight,11,0.174079
6,median,11,1.63948
6,mean,11,0.174326
6,highlight,11,0.174536
24,median,11,1.62841
24,mean,11,0.174874
24,highlight,11,0.173905
21,median,11,1.51979
21,mean,11,0.17371
21,highlight,11,0.17398
22,median,11,1.49215
22,mean,11,0.173976
22,highlight,11,0.174493
1,median,11,1.64412
1,mean,11,0.173598
1,highlight,11,0.173316
12,median,11,1.54592
12,mean,11,0.173662
12,highlight,11,0.177064
0,median,11,1.59994
0,mean,11,0.17371
0,highlight,11,0.173983
5,median,11,1.55226
5,mean,11,0.174334
5,highlight,11,0.17399
13,median,11,6.72784
13,mean,11,0.696052
13,highlight,11,0.694321
15,median,11,6.53984
15,mean,11,0.695993
15,highlight,11,0.694196
7,median,11,6.48112
7,mean,11,0.694746
7,highlight,11,0.69513
23,rotate,0,0.117169
23,schear,0,0.11817
17,rotate,0,0.116985
17,schear,0,0.12757
20,rotate,0,0.117258
20,schear,0,0.117027
14,rotate,0,0.0292127
14,schear,0,0.0293185
saltpepper1,rotate,0,0.117168
saltpepper1,schear,0,0.117142
18,rotate,0,0.117253
18,schear,0,0.117133
16,rotate,0,0.11706
16,schear,0,0.11662
4,rotate,0,0.117247
4,schear,0,0.117331
2,rotate,0,0.116924
2,schear,0,0.117407
image,rotate,0,0.117706
image,schear,0,0.117241
3,rotate,0,0.0293417
3,schear,0,0.0292799
8,rotate,0,0.117224
8,schear,0,0.11732
9,rotate,0,0.117277
9,schear,0,0.11706
6,rotate,0,0.117127
6,schear,0,0.116886
24,rotate,0,0.117288
24,schear,0,0.117167
21,rotate,0,0.117135
21,schear,0,0.117849
22,rotate,0,0.117214
22,schear,0,0.117167
1,rotate,0,0.11722
1,schear,0,0.117316
12,rotate,0,0.11664
12,schear,0,0.11734
0,rotate,0,0.117174
0,schear,0,0.117234
5,rotate,0,0.11705
5,schear,0,0.128133
13,rotate,0,0.470905
13,schear,0,0.469772
15,rotate,0,0.470419
15,schear,0,0.470164
7,rotate,0,0.470987
7,schear,0,0.468593
23,median,3,0.0748736
23,mean,3,0.01685
23,highlight,3,0.0167592
17,median,3,0.0738572
17,mean,3,0.016902
17,highlight,3,0.0167377
20,median,3,0.0740802
20,mean,3,0.0173911
20,highlight,3,0.016795
14,median,3,0.0116036
14,mean,3,0.0042231
14,highlight,3,0.00423972
saltpepper1,median,3,0.0740868
saltpepper1,mean,3,0.0169149
saltpepper1,highlight,3,0.0170677
18,median,3,0.068465
18,mean,3,0.0168984
18,highlight,3,0.0169412
16,median,3,0.0651473
16,mean,3,0.0168465
16,highlight,3,0.0169
4,median,3,0.0731999
4,mean,3,0.016863
4,highlight,3,0.0170104
2,median,3,0.0741476
2,mean,3,0.016957
2,highlight,3,0.0167367
image,median,3,0.0706208
image,mean,3,0.0168679
image,highlight,3,0.016984
3,median,3,0.0183016
3,mean,3,0.00425668
3,highlight,3,0.00422965
8,median,3,0.0729561
8,mean,3,0.0168454
8,highlight,3,0.0170874
9,median,3,0.0751644
9,mean,3,0.0168267
9,highlight,3,0.0167698
6,median,3,0.0746947
6,mean,3,0.01694
6,highlight,3,0.0168058
24,median,3,0.0750736
24,mean,3,0.0170422
24,highlight,3,0.0167765
21,median,3,0.0718652
21,mean,3,0.0169505
21,highlight,3,0.0168639
22,median,3,0.0733574
22,mean,3,0.016851
22,highlight,3,0.0167397
1,median,3,0.0753777
1,mean,3,0.0170174
1,highlight,3,0.0168001
12,median,3,0.0739861
12,mean,3,0.0169083
12,highlight,3,0.0167845
0,median,3,0.0734709
0,mean,3,0.0168409
0,highlight,3,0.0167769
5,median,3,0.0740034
5,mean,3,0.0168926
5,highlight,3,0.0168215
13,median,3,0.303107
13,mean,3,0.0672195
13,highlight,3,0.0708843
15,median,3,0.297383
15,mean,3,0.0676003
15,highlight,3,0.0675119
7,median,3,0.301797
7,mean,3,0.0673943
7,highlight,3,0.0673898
23,median,5,0.2559
23,mean,5,0.0394032
23,highlight,5,0.0391686
17,median,5,0.257528
17,mean,5,0.0393717
17,highlight,5,0.0392594
20,median,5,0.253965
20,mean,5,0.0394574
20,highlight,5,0.0391807
14,median,5,0.0369158
14,mean,5,0.0098907
14,highlight,5,0.00996508
saltpepper1,median,5,0.260607
saltpepper1,mean,5,0.0393493
saltpepper1,highlight,5,0.0397236
18,median,5,0.235397
18,mean,5,0.0395121
18,highlight,5,0.0394398
16,median,5,0.217568
16,mean,5,0.0394302
16,highlight,5,0.0395957
4,median,5,0.256402
4,mean,5,0.0395885
4,highlight,5,0.0397193
2,median,5,0.254264
2,mean,5,0.0394059
2,highlight,5,0.0392931
image,median,5,0.245146
image,mean,5,0.039539
image,highlight,5,0.0395619
3,median,5,0.063684
3,mean,5,0.00984584
3,highlight,5,0.00984076
8,median,5,0.255282
8,mean,5,0.0393301
8,highlight,5,0.0398615
9,median,5,0.261884
9,mean,5,0.0393052
9,highlight,5,0.039293
6,median,5,0.259464
6,mean,5,0.0392724
6,highlight,5,0.03936
24,median,5,0.259099
24,mean,5,0.0392741
24,highlight,5,0.0391912
21,median,5,0.248529
21,mean,5,0.0392988
21,highlight,5,0.0393282
22,median,5,0.253933
22,mean,5,0.0393526
22,highlight,5,0.0392157
1,median,5,0.259963
1,mean,5,0.0392678
1,highlight,5,0.0391316
12,median,5,0.252877
12,mean,5,0.039257
12,highlight,5,0.0393002
0,median,5,0.254384
0,mean,5,0.0394742
0,highlight,5,0.0394489
5,median,5,0.257585
